Date,Transaction Description,Category,Amount (Rupiah),Type
2022-10-04,Net pending bus contract total flight tax.,Other,27670400,Income
2022-10-04,Tax renewal digital plan flight bonus.,Health & Fitness,4899400,Expense
2022-10-04,Simple land bad party.,Investment,23060000,Income
2022-10-05,Advance savings order utility insurance.,Travel,11963400,Expense
2022-10-05,Support booking deal flight order.,Salary,7717900,Income
2022-10-05,What than political up instead.,Travel,4574400,Expense
2022-10-05,Deposit hardware.,Food & Drink,11537500,Expense
2022-10-05,Standard tax adjustment loan restaurant.,Travel,5158500,Expense
2022-10-05,Savings entertainment purchase health hospital order bus.,Other,34293400,Income
2022-10-05,Material regular freelance annual purchase.,Travel,9634000,Expense
2022-10-05,Credit flight package.,Entertainment,5865600,Expense
2022-10-05,Insurance bonus app shop.,Other,23124200,Income
2022-10-05,Balance store bus entertainment package balance hardware.,Utilities,11447400,Expense
2022-10-06,Market subscription.,Other,17510200,Income
2022-10-06,Platform client pending restaurant.,Health & Fitness,3360100,Expense
2022-10-06,Tools reward standard water clinic clinic.,Salary,14282400,Income
2022-10-06,System clinic maintenance delivery.,Other,32601900,Income
2022-10-06,Charge digital.,Health & Fitness,15080700,Expense
2022-10-06,Salary deposit credit.,Salary,18089400,Income
2022-10-06,Financial order purchase delivery app.,Entertainment,9720700,Expense
2022-10-06,Special insurance.,Shopping,4062500,Expense
2022-10-07,Reward balance business.,Travel,11746900,Expense
2022-10-07,Internet interest hotel payment total hotel.,Travel,3552200,Expense
2022-10-07,Bus network platform savings premium charge.,Food & Drink,7961500,Expense
2022-10-08,Balance subscription.,Shopping,19013400,Expense
2022-10-08,Platform online budget bonus.,Travel,17104600,Expense
2022-10-08,Charge client pharmacy gross express shop.,Rent,9554100,Expense
2022-10-08,Mortgage freelance budget loan.,Investment,28712000,Income
2022-10-08,Standard freelance tax restaurant.,Health & Fitness,10014800,Expense
2022-10-08,Support author class direction.,Salary,11356400,Income
2022-10-08,Food entertainment bill project online.,Health & Fitness,6050000,Expense
2022-10-08,Debit balance material adjustment interest bonus fee.,Entertainment,7707900,Expense
2022-10-10,Credit management train credit insurance balance loan.,Rent,3376900,Expense
2022-10-10,Gross food material.,Salary,13756500,Income
2022-10-10,Weekly loan hardware household.,Rent,5090500,Expense
2022-10-10,Fee market fee software.,Utilities,9672600,Expense
2022-10-10,Water entertainment deposit account bill renewal account.,Salary,12795100,Income
2022-10-10,Entertainment health.,Travel,8127400,Expense
2022-10-10,Order platform pending clinic management vendor household.,Entertainment,19614000,Expense
2022-10-10,Deal freelance health insurance flight.,Utilities,12256000,Expense
2022-10-10,Charge pending flight automatic package app.,Health & Fitness,9103700,Expense
2022-10-10,Report painting house.,Salary,11039600,Income
2022-10-11,Gym credit order contract annual.,Rent,4992200,Expense
2022-10-11,Special express plan investment shop.,Rent,11562600,Expense
2022-10-11,Management deal.,Health & Fitness,10022300,Expense
2022-10-11,Package system bus interest material.,Travel,8845100,Expense
2022-10-11,Tax project market premium mortgage booking.,Food & Drink,7942200,Expense
2022-10-12,Charge hospital daily economy.,Salary,11038800,Income
2022-10-12,Salary adjustment hardware household.,Shopping,10860600,Expense
2022-10-12,Annual express system.,Shopping,8642300,Expense
2022-10-12,Digital contract savings priority bill.,Salary,7422900,Income
2022-10-12,Road product wait.,Health & Fitness,10886700,Expense
2022-10-12,Security minute late cold.,Investment,26940000,Income
2022-10-12,Project salary.,Entertainment,17520400,Expense
2022-10-12,Annual business tax debit.,Utilities,8226800,Expense
2022-10-12,Deposit system.,Shopping,10240100,Expense
2022-10-12,Economy annual payment food.,Rent,16402200,Expense
2022-10-13,Net clinic.,Salary,8500600,Income
2022-10-13,Daily management platform maintenance app app debit.,Health & Fitness,8384000,Expense
2022-10-13,Household insurance personal.,Health & Fitness,13609800,Expense
2022-10-13,Shop weekly hotel.,Other,29963000,Income
2022-10-13,Cold billion as.,Salary,10972400,Income
2022-10-13,Online contract.,Food & Drink,11218500,Expense
2022-10-13,Internet platform bill tax grocery.,Rent,6732100,Expense
2022-10-14,Water automatic.,Rent,8708500,Expense
2022-10-14,Train pending standard.,Investment,30626500,Income
2022-10-14,Travel hotel.,Utilities,3589600,Expense
2022-10-14,Direct taxi mall bill tools premium.,Food & Drink,14924200,Expense
2022-10-14,Mall transfer gross total train savings.,Food & Drink,17866400,Expense
2022-10-15,Order gym.,Investment,25711800,Income
2022-10-15,Electricity network market gym.,Other,8046500,Income
2022-10-15,Invoice food investment pending weekly.,Travel,6115900,Expense
2022-10-15,Restaurant discount household gym.,Health & Fitness,10725400,Expense
2022-10-15,Hospital account internet transfer business project special.,Shopping,17638300,Expense
2022-10-16,Market credit premium.,Investment,32267700,Income
2022-10-16,Management gym hardware bonus adjustment.,Travel,19432600,Expense
2022-10-16,Monthly financial mall reward.,Utilities,13227500,Expense
2022-10-16,Utility charge hotel investment.,Investment,24777500,Income
2022-10-16,Total advance bonus.,Other,18270900,Income
2022-10-16,Discount freelance.,Investment,20645000,Income
2022-10-16,Subscription household bonus management.,Food & Drink,10053100,Expense
2022-10-17,Tools hotel purchase processed.,Health & Fitness,13472100,Expense
2022-10-17,Booking premium contract economy debit express.,Food & Drink,14523900,Expense
2022-10-17,Processed maintenance flight water electricity parking credit.,Investment,5768100,Income
2022-10-17,Monthly economy priority hotel weekly.,Other,18591900,Income
2022-10-18,Client restaurant restaurant loan.,Travel,16961000,Expense
2022-10-18,Tax charge vendor business special food freelance.,Shopping,7812300,Expense
2022-10-18,Utility hospital.,Other,26837500,Income
2022-10-18,Tax flight.,Entertainment,9898600,Expense
2022-10-18,Subscription total financial standard phone vendor system.,Travel,9192900,Expense
2022-10-18,Charge salary purchase.,Rent,18726700,Expense
2022-10-19,Fee shop mortgage investment.,Entertainment,8571600,Expense
2022-10-19,Management food deal.,Travel,6826800,Expense
2022-10-19,Package discount interest material restaurant internet delivery.,Utilities,9072300,Expense
2022-10-19,Approach side model you billion.,Rent,14746200,Expense
2022-10-19,Pressure those.,Entertainment,6024400,Expense
2022-10-19,Mall advance management.,Health & Fitness,5004600,Expense
2022-10-19,App network special health total platform.,Investment,21474700,Income
2022-10-19,Bus entertainment water management restaurant.,Food & Drink,7846700,Expense
2022-10-19,Mortgage premium vendor.,Rent,10706800,Expense
2022-10-20,Tax premium taxi platform bus discount platform.,Shopping,5981500,Expense
2022-10-20,Special personal.,Salary,13052200,Income
2022-10-20,Hardware subscription regular digital loan maintenance fuel.,Investment,5841300,Income
2022-10-20,Travel reward flight network hotel priority loan.,Entertainment,12094800,Expense
2022-10-20,Easy exist phone.,Salary,5330000,Income
2022-10-20,Net management.,Food & Drink,11540300,Expense
2022-10-21,Entertainment advance hospital fee gym.,Shopping,10814000,Expense
2022-10-21,Loan deal reward pharmacy.,Utilities,3614400,Expense
2022-10-21,Stuff agreement professional team foot.,Rent,8837500,Expense
2022-10-21,Discount internet network train.,Health & Fitness,8024300,Expense
2022-10-22,Bus bill freelance payment freelance fee net.,Other,42157100,Income
2022-10-22,Travel credit.,Rent,14584200,Expense
2022-10-22,Monthly digital special project deposit.,Food & Drink,9055300,Expense
2022-10-22,Window music evening know.,Entertainment,4276600,Expense
2022-10-22,Bonus purchase package total tax automatic.,Health & Fitness,11485600,Expense
2022-10-22,Priority bill app.,Salary,5450700,Income
2022-10-23,Opportunity lead see.,Health & Fitness,17234900,Expense
2022-10-23,Economy interest fuel phone fuel transfer.,Entertainment,16292100,Expense
2022-10-23,Credit adjustment equipment app.,Investment,26024600,Income
2022-10-23,Mortgage hospital package app.,Food & Drink,11716300,Expense
2022-10-23,Vendor phone.,Rent,14558200,Expense
2022-10-23,Transfer delivery service deal management invoice.,Investment,23501100,Income
2022-10-23,Digital bonus management.,Investment,37357100,Income
2022-10-23,Subscription bonus bus plan deposit weekly.,Health & Fitness,5204500,Expense
2022-10-23,Monthly bus online digital daily.,Food & Drink,1589700,Expense
2022-10-23,Subscription payment debit personal.,Utilities,1283900,Expense
2022-10-24,Tax store mortgage direct taxi adjustment.,Travel,11583000,Expense
2022-10-24,Household monthly subscription food restaurant shop.,Rent,11231200,Expense
2022-10-24,Hotel salary pharmacy net.,Utilities,6258000,Expense
2022-10-24,Plan budget tools fee credit digital.,Travel,13809100,Expense
2022-10-24,Train mortgage processed loan internet.,Health & Fitness,6249800,Expense
2022-10-25,Network mortgage.,Investment,6696500,Income
2022-10-25,Deal standard budget.,Utilities,12216300,Expense
2022-10-25,Regular app fee personal.,Investment,43579200,Income
2022-10-25,Equipment phone.,Entertainment,12868400,Expense
2022-10-25,Clinic annual interest premium.,Other,36690800,Income
2022-10-25,Model police finally girl.,Shopping,3403000,Expense
2022-10-25,Account maintenance.,Entertainment,12807100,Expense
2022-10-25,Water store taxi charge.,Travel,3294400,Expense
2022-10-25,Equipment daily grocery fuel.,Utilities,17349700,Expense
2022-10-26,Package budget utility express material water household.,Travel,1068300,Expense
2022-10-26,Fuel business.,Other,23281600,Income
2022-10-26,Utility standard.,Other,14339200,Income
2022-10-26,Entertainment special order.,Investment,26892600,Income
2022-10-26,Fee bus vendor.,Utilities,17765800,Expense
2022-10-26,Total premium.,Health & Fitness,6289500,Expense
2022-10-27,Material grocery market hospital standard.,Rent,13903400,Expense
2022-10-27,Household express travel water phone total.,Investment,20431000,Income
2022-10-27,Regular tools bonus special deal.,Travel,16091600,Expense
2022-10-27,Annual direct tax processed shop annual subscription.,Food & Drink,10519600,Expense
2022-10-27,Weekly parking taxi balance grocery automatic.,Rent,5191000,Expense
2022-10-27,Payment food network.,Entertainment,12081300,Expense
2022-10-27,Bonus purchase.,Rent,16134400,Expense
2022-10-28,Source kind hand.,Investment,21950000,Income
2022-10-28,Purchase business balance bill water hardware food.,Entertainment,6143000,Expense
2022-10-28,Household phone online fuel app restaurant.,Travel,10694200,Expense
2022-10-28,Debit deposit personal.,Health & Fitness,9977400,Expense
2022-10-28,Package budget adjustment interest loan.,Utilities,12231600,Expense
2022-10-28,Weekly travel platform service.,Utilities,10964300,Expense
2022-10-28,Priority deal fee mortgage gym.,Travel,12921500,Expense
2022-10-28,Bill app entertainment tools direct interest financial.,Other,9308600,Income
2022-10-28,Priority fuel account.,Travel,5531600,Expense
2022-10-29,Store personal.,Investment,12826800,Income
2022-10-29,Loan software special tax market.,Health & Fitness,3439100,Expense
2022-10-29,Restaurant annual vendor vendor balance.,Food & Drink,2249800,Expense
2022-10-29,Flight debit order electricity store subscription priority.,Investment,6375300,Income
2022-10-29,Equipment water.,Rent,3400100,Expense
2022-10-30,Field a spring.,Health & Fitness,10692400,Expense
2022-10-30,Train delivery pending.,Entertainment,8452600,Expense
2022-10-30,Hotel invoice digital transfer.,Entertainment,13544900,Expense
2022-10-30,Adjustment business.,Investment,17044800,Income
2022-10-30,Processed deposit app regular.,Utilities,9536000,Expense
2022-10-30,Hardware market budget daily.,Health & Fitness,9842400,Expense
2022-10-31,Material vendor.,Rent,14980900,Expense
2022-10-31,Expert movement reach man.,Utilities,6540700,Expense
2022-10-31,Hospital food processed savings discount budget.,Salary,890400,Income
2022-10-31,Loan financial tax store.,Entertainment,9647500,Expense
2022-10-31,Premium debit.,Rent,5460600,Expense
2022-10-31,Material special.,Travel,16369200,Expense
2022-10-31,Express bonus clinic fuel phone.,Food & Drink,2747400,Expense
2022-10-31,Direct equipment.,Investment,11315200,Income
2022-10-31,Discount network clinic management special.,Food & Drink,9145400,Expense
2022-10-31,Platform payment.,Food & Drink,10971600,Expense
2022-10-31,Delivery advance pending financial.,Travel,6565300,Expense
2022-11-01,Daily taxi bus mall.,Food & Drink,10967700,Expense
2022-11-01,Hospital shop system store water.,Rent,11158300,Expense
2022-11-01,Monthly priority express business.,Food & Drink,6279700,Expense
2022-11-01,Software mortgage health.,Travel,9620600,Expense
2022-11-02,Economy economy business.,Investment,8027500,Income
2022-11-02,Digital gross network.,Health & Fitness,10924600,Expense
2022-11-02,Freelance phone.,Travel,9200000,Expense
2022-11-02,Food adjustment market personal personal.,Utilities,9991100,Expense
2022-11-02,Gross clinic utility insurance electricity train.,Shopping,341400,Expense
2022-11-02,Standard management restaurant.,Travel,15077000,Expense
2022-11-02,Tax debit.,Entertainment,3364500,Expense
2022-11-02,Platform account contract annual shop bill order.,Food & Drink,11292200,Expense
2022-11-03,Platform hardware.,Travel,9911900,Expense
2022-11-03,Processed train food tools loan app total.,Food & Drink,17431000,Expense
2022-11-03,Software renewal express renewal water market.,Other,36966400,Income
2022-11-03,Economy contract investment.,Investment,27596800,Income
2022-11-03,Client transfer software fee hardware.,Travel,12934600,Expense
2022-11-03,Weekly gym deal invoice equipment subscription.,Investment,24077700,Income
2022-11-03,Premium pending booking regular reward.,Rent,13112200,Expense
2022-11-03,Across involve fall.,Travel,11497400,Expense
2022-11-04,Payment personal pending discount electricity standard.,Shopping,8069500,Expense
2022-11-04,Deposit economy material software project tax credit.,Entertainment,10067600,Expense
2022-11-04,Mortgage insurance.,Shopping,5109100,Expense
2022-11-04,Bonus flight discount.,Utilities,12328100,Expense
2022-11-04,Nature country.,Rent,2798200,Expense
2022-11-05,Loan express.,Investment,26111900,Income
2022-11-05,Restaurant parking bonus business freelance.,Entertainment,9653200,Expense
2022-11-05,Electricity balance personal market software software platform.,Other,41275600,Income
2022-11-05,Automatic management balance daily.,Entertainment,5395200,Expense
2022-11-05,Store equipment material pending processed discount bonus.,Health & Fitness,8516000,Expense
2022-11-05,Hardware restaurant household market delivery project.,Utilities,10416100,Expense
2022-11-05,Savings adjustment reward maintenance freelance support.,Utilities,8535000,Expense
2022-11-05,House clear say hope.,Shopping,18383500,Expense
2022-11-05,Fuel shop digital.,Other,29644600,Income
2022-11-05,Phone app.,Travel,11603800,Expense
2022-11-06,Client deal direct purchase.,Other,24361200,Income
2022-11-06,Salary automatic.,Salary,6975500,Income
2022-11-06,Savings balance internet order debit store health.,Investment,10720800,Income
2022-11-06,Charge debit.,Shopping,8007400,Expense
2022-11-06,Charge automatic order app.,Shopping,3328500,Expense
2022-11-07,Adjustment internet network network loan renewal payment.,Shopping,3327500,Expense
2022-11-07,Hotel delivery.,Rent,9841300,Expense
2022-11-07,Platform pending economy special investment standard tax.,Shopping,10191500,Expense
2022-11-07,Clinic booking fee fuel hotel water.,Utilities,960300,Expense
2022-11-07,Renewal online credit.,Entertainment,1859600,Expense
2022-11-07,Possible mother especially.,Investment,31380000,Income
2022-11-07,Purchase electricity phone.,Investment,33953100,Income
2022-11-07,Enjoy instead dream.,Utilities,14058400,Expense
2022-11-07,Material platform phone internet fuel.,Rent,5975600,Expense
2022-11-08,Business business entertainment.,Rent,14817400,Expense
2022-11-08,Processed fuel household package.,Salary,17288500,Income
2022-11-08,Hotel economy savings business deposit savings.,Investment,10522400,Income
2022-11-08,Personal charge.,Other,11510100,Income
2022-11-09,Processed invoice fuel special loan train tax.,Investment,8635300,Income
2022-11-09,Consumer face.,Shopping,9840200,Expense
2022-11-09,Platform express invoice market processed.,Other,25982800,Income
2022-11-09,Debit service.,Other,37724800,Income
2022-11-09,Balance train discount project shop.,Entertainment,11344200,Expense
2022-11-10,Regular taxi shop bonus gym account.,Food & Drink,6053600,Expense
2022-11-10,Platform economy.,Shopping,15084500,Expense
2022-11-10,Laugh red man fly charge.,Travel,12593500,Expense
2022-11-10,Savings flight.,Travel,12812900,Expense
2022-11-10,Discount deal project processed subscription management.,Entertainment,845300,Expense
2022-11-10,Internet account train market.,Shopping,9006800,Expense
2022-11-10,Business pharmacy project savings charge bonus.,Rent,7707200,Expense
2022-11-10,Booking transfer charge grocery special.,Investment,19705400,Income
2022-11-11,Express hotel water service software equipment hotel.,Other,14930400,Income
2022-11-11,Priority project order.,Travel,8161700,Expense
2022-11-11,Gym household.,Health & Fitness,7331200,Expense
2022-11-11,Advance store premium app bonus mall premium.,Travel,12058700,Expense
2022-11-11,Equipment hospital train gross net.,Shopping,1336600,Expense
2022-11-11,Entertainment bus total entertainment budget shop internet.,Entertainment,7150400,Expense
2022-11-12,Balance financial order.,Utilities,7240000,Expense
2022-11-12,Standard health freelance order contract project internet.,Utilities,1816500,Expense
2022-11-12,Interest special.,Other,12563200,Income
2022-11-12,Hotel flight advance salary transfer loan clinic.,Utilities,14362200,Expense
2022-11-12,Charge investment monthly invoice.,Shopping,2167300,Expense
2022-11-12,System personal.,Travel,1142600,Expense
2022-11-12,Bus support maintenance invoice maintenance.,Food & Drink,3805500,Expense
2022-11-12,Insurance service renewal express train charge.,Utilities,15498500,Expense
2022-11-13,Discount hospital hospital direct plan contract.,Entertainment,9968600,Expense
2022-11-13,Support advance.,Utilities,1236100,Expense
2022-11-13,Daily restaurant.,Food & Drink,9256800,Expense
2022-11-13,Bill interest hospital store management.,Shopping,10043800,Expense
2022-11-13,Client processed food platform.,Rent,15058300,Expense
2022-11-13,Freelance tax interest premium invoice advance.,Salary,16267800,Income
2022-11-13,Food reward system.,Utilities,937700,Expense
2022-11-13,Tools renewal digital.,Food & Drink,6624500,Expense
2022-11-13,Train electricity account express advance.,Rent,6885500,Expense
2022-11-13,Control bill.,Rent,12709200,Expense
2022-11-13,Payment system water.,Investment,39193500,Income
2022-11-13,Charge health daily.,Investment,30276400,Income
2022-11-14,Phone phone bonus phone bonus.,Rent,12105100,Expense
2022-11-14,Discount mall monthly transfer automatic investment.,Health & Fitness,6873400,Expense
2022-11-14,Resource road do.,Rent,8116700,Expense
2022-11-14,Management game.,Health & Fitness,9148400,Expense
2022-11-14,Transfer platform daily advance.,Other,32037600,Income
2022-11-14,Bonus monthly hotel electricity equipment payment.,Entertainment,15197100,Expense
2022-11-14,Mall app pending parking salary parking.,Entertainment,9985300,Expense
2022-11-14,Credit adjustment.,Salary,4467500,Income
2022-11-15,Equipment restaurant hardware adjustment.,Other,31776200,Income
2022-11-15,Savings hospital network phone special budget.,Shopping,9909600,Expense
2022-11-15,Household support bill.,Food & Drink,8901400,Expense
2022-11-15,Your less social form.,Food & Drink,17391300,Expense
2022-11-15,Priority management regular charge credit utility network.,Utilities,344500,Expense
2022-11-15,Order purchase net shop entertainment account package.,Investment,21735400,Income
2022-11-15,Hospital interest renewal mortgage priority delivery food.,Other,22124200,Income
2022-11-15,Grocery booking.,Travel,8153100,Expense
2022-11-16,Network savings credit market priority subscription fee.,Health & Fitness,7584300,Expense
2022-11-17,Entire hotel.,Rent,14645500,Expense
2022-11-17,Renewal digital electricity material discount pharmacy.,Other,31357200,Income
2022-11-17,Consider time economic high.,Health & Fitness,17017100,Expense
2022-11-17,Net system app hardware.,Rent,10243800,Expense
2022-11-17,Advance grocery.,Food & Drink,12855200,Expense
2022-11-17,Food order daily.,Utilities,13351800,Expense
2022-11-18,Management salary.,Shopping,9788200,Expense
2022-11-18,Taxi annual discount.,Travel,10898200,Expense
2022-11-18,Salary package hotel.,Rent,10369900,Expense
2022-11-18,Direct annual order.,Other,26151000,Income
2022-11-18,Market savings debit balance gym fee.,Investment,24566700,Income
2022-11-18,Window research his.,Shopping,4434800,Expense
2022-11-18,Weekly household total direct.,Travel,11212000,Expense
2022-11-19,Scene almost leave.,Entertainment,9944800,Expense
2022-11-19,Platform freelance.,Utilities,14417700,Expense
2022-11-20,Discount client processed.,Travel,8237900,Expense
2022-11-20,Invoice material subscription.,Investment,34511700,Income
2022-11-20,Taxi special food priority taxi.,Salary,10599000,Income
2022-11-20,Personal credit management.,Travel,10514600,Expense
2022-11-20,Adjustment credit bonus premium balance management software.,Travel,18781100,Expense
2022-11-20,Mall savings loan internet gross discount.,Rent,3228800,Expense
2022-11-20,Credit debit fuel tools.,Rent,13488300,Expense
2022-11-20,Grocery salary insurance vendor payment store.,Salary,6311600,Income
2022-11-20,Hardware freelance.,Shopping,12848700,Expense
2022-11-20,Equipment parking transfer pending renewal water.,Utilities,8868200,Expense
2022-11-21,Program decade home which view.,Travel,6821300,Expense
2022-11-21,Standard personal.,Entertainment,18501700,Expense
2022-11-21,Online fuel purchase purchase personal electricity hospital.,Investment,24000200,Income
2022-11-21,Equipment weekly.,Food & Drink,13426000,Expense
2022-11-21,Priority system pending deposit.,Food & Drink,6101500,Expense
2022-11-21,Discount tax equipment system grocery loan tools.,Salary,11415200,Income
2022-11-21,Direct business plan advance tax personal bill.,Health & Fitness,13036900,Expense
2022-11-21,Service client mortgage net plan material client.,Utilities,6890300,Expense
2022-11-22,Train invoice.,Other,37681700,Income
2022-11-22,Rock seat near business loss.,Salary,15787200,Income
2022-11-22,Subscription clinic software salary payment.,Rent,11796600,Expense
2022-11-23,Express hardware equipment contract.,Utilities,9681800,Expense
2022-11-23,Service food regular order system health.,Other,22646500,Income
2022-11-23,Delivery gross weekly.,Utilities,5962000,Expense
2022-11-23,Health insurance invoice balance.,Shopping,11286300,Expense
2022-11-23,Restaurant subscription credit payment personal discount deposit.,Other,29972200,Income
2022-11-23,Vendor flight fuel total budget loan business.,Shopping,14420900,Expense
2022-11-23,Hospital taxi water health.,Other,43480300,Income
2022-11-24,Management parking phone.,Shopping,4616500,Expense
2022-11-24,Market contract payment software management.,Other,11156300,Income
2022-11-24,Hardware material.,Health & Fitness,10699500,Expense
2022-11-24,Savings booking digital advance vendor.,Health & Fitness,16581000,Expense
2022-11-24,Tax vendor standard charge reward pharmacy.,Entertainment,16983400,Expense
2022-11-24,Client hardware flight clinic tools maintenance.,Health & Fitness,1713400,Expense
2022-11-25,Priority restaurant entertainment market.,Shopping,17099800,Expense
2022-11-25,Water online market client.,Utilities,1837800,Expense
2022-11-25,Fuel deposit.,Health & Fitness,5953200,Expense
2022-11-25,Payment discount reward grocery hotel automatic.,Rent,16018500,Expense
2022-11-26,Clinic plan budget transfer.,Salary,19281000,Income
2022-11-26,Plan foot cold.,Salary,424000,Income
2022-11-26,Growth appear project.,Food & Drink,1014300,Expense
2022-11-26,Household total fee invoice debit invoice discount.,Food & Drink,13721300,Expense
2022-11-26,Phone material account charge household savings.,Utilities,13113600,Expense
2022-11-26,Vendor fuel contract fuel.,Health & Fitness,12511900,Expense
2022-11-26,Hotel special train management direct financial credit.,Investment,20787200,Income
2022-11-27,Charge online utility adjustment economy.,Shopping,1412800,Expense
2022-11-27,Shop payment.,Food & Drink,13215600,Expense
2022-11-27,Deal bill monthly debit pending hospital grocery.,Other,36056400,Income
2022-11-27,Monthly software market weekly equipment.,Salary,13068300,Income
2022-11-28,Net advance interest train adjustment charge gross.,Travel,7354100,Expense
2022-11-28,Choice side eat matter rather.,Other,21570000,Income
2022-11-28,Adjustment purchase system.,Other,34075400,Income
2022-11-28,Build smile across among situation.,Utilities,8881600,Expense
2022-11-29,Bill taxi special client network train water.,Food & Drink,17370300,Expense
2022-11-29,Debit household credit package interest.,Entertainment,10996400,Expense
2022-11-29,Order material train entertainment deal discount budget.,Entertainment,5189700,Expense
2022-11-29,Management taxi project support.,Utilities,8108600,Expense
2022-11-29,Annual salary financial pharmacy software.,Other,26418800,Income
2022-11-29,Purchase platform parking fee financial health internet.,Investment,38962300,Income
2022-11-29,Deposit equipment maintenance.,Food & Drink,12581700,Expense
2022-11-30,Grocery gross.,Salary,8368600,Income
2022-11-30,Special network delivery business material adjustment reward.,Health & Fitness,8707500,Expense
2022-11-30,Mortgage electricity net total automatic regular household.,Entertainment,5601600,Expense
2022-11-30,Parking utility.,Health & Fitness,10062600,Expense
2022-11-30,Mall internet annual store hardware net service.,Food & Drink,11281100,Expense
2022-11-30,Economy project travel hotel.,Other,32565400,Income
2022-11-30,Discount tools travel.,Health & Fitness,12195000,Expense
2022-11-30,Grocery express.,Investment,40538800,Income
2022-12-01,Pending vendor household standard purchase water bonus.,Salary,8744000,Income
2022-12-01,Shop total electricity.,Travel,14346100,Expense
2022-12-01,Contract electricity tax management water store pharmacy.,Food & Drink,1314700,Expense
2022-12-01,Art green child movie blue.,Utilities,17654700,Expense
2022-12-01,Salary management market mortgage credit.,Health & Fitness,9374200,Expense
2022-12-01,Shop maintenance flight household.,Rent,17723200,Expense
2022-12-02,Bonus grocery shop household.,Food & Drink,4734700,Expense
2022-12-02,Payment online automatic bus.,Other,6477900,Income
2022-12-02,Personal equipment business fee deal.,Health & Fitness,11028500,Expense
2022-12-02,Mall direct delivery advance.,Rent,11918700,Expense
2022-12-02,Standard equipment bonus water pending fuel client.,Salary,13762300,Income
2022-12-02,Economy invoice.,Other,40174500,Income
2022-12-02,Economy platform gym deal management gym.,Shopping,8345900,Expense
2022-12-02,Subscription entertainment.,Other,14943700,Income
2022-12-02,Bill fuel fuel.,Health & Fitness,8349300,Expense
2022-12-02,Standard phone.,Other,18110500,Income
2022-12-02,Parking parking freelance purchase management special.,Investment,43898700,Income
2022-12-02,Balance internet.,Shopping,7635200,Expense
2022-12-02,Premium project health direct.,Investment,17519600,Income
2022-12-02,Regular hardware bonus fee.,Rent,6853700,Expense
2022-12-03,Budget weekly delivery package mortgage bus.,Salary,1438300,Income
2022-12-03,Premium premium adjustment salary hardware management.,Travel,9065900,Expense
2022-12-03,First next popular.,Travel,1957500,Expense
2022-12-03,Business direct equipment contract discount project.,Investment,12295400,Income
2022-12-03,Client discount bill invoice total client weekly.,Rent,12648800,Expense
2022-12-03,Online management bonus mortgage bonus.,Shopping,6681200,Expense
2022-12-04,Run again help right.,Rent,7499700,Expense
2022-12-04,Net delivery total credit express material.,Investment,32184600,Income
2022-12-04,Material phone payment.,Other,35990000,Income
2022-12-04,Tools standard gross net hospital deal.,Investment,39590800,Income
2022-12-04,Financial maintenance project.,Food & Drink,12777000,Expense
2022-12-04,Investment premium electricity fuel payment.,Health & Fitness,13128500,Expense
2022-12-05,Store service pharmacy electricity support household.,Food & Drink,9030900,Expense
2022-12-05,Taxi mall express plan processed.,Rent,6937100,Expense
2022-12-05,Pharmacy transfer loan standard business.,Salary,9887100,Income
2022-12-05,Recent couple cost girl run.,Entertainment,8641700,Expense
2022-12-05,Support automatic management business.,Entertainment,15328100,Expense
2022-12-05,Management support shop direct weekly pharmacy train.,Rent,14459900,Expense
2022-12-05,Loan electricity package mall subscription investment economy.,Health & Fitness,9072600,Expense
2022-12-05,Magazine join.,Utilities,1130600,Expense
2022-12-06,Deal personal.,Food & Drink,17310600,Expense
2022-12-06,Maintenance entertainment mortgage personal booking health.,Food & Drink,13588100,Expense
2022-12-06,Automatic salary transfer account system electricity.,Investment,16381700,Income
2022-12-07,Health premium grocery hotel material delivery platform.,Other,14799900,Income
2022-12-07,Trial never attention choice fast.,Investment,5080000,Income
2022-12-08,Business savings deal taxi.,Travel,8854200,Expense
2022-12-08,Online material.,Rent,10588200,Expense
2022-12-08,Package credit service phone shop business food.,Health & Fitness,17011600,Expense
2022-12-08,Store account.,Food & Drink,12475800,Expense
2022-12-08,Financial investment electricity deal.,Entertainment,8226600,Expense
2022-12-08,Parking gym credit food store.,Utilities,12162900,Expense
2022-12-09,Parking pharmacy.,Utilities,9607800,Expense
2022-12-09,Pharmacy interest bill material.,Other,24398800,Income
2022-12-09,Gym advance.,Utilities,13476100,Expense
2022-12-09,Delivery shop.,Entertainment,8629100,Expense
2022-12-09,Taxi food economy fuel balance.,Rent,12468700,Expense
2022-12-10,Utility fuel automatic savings clinic processed network.,Investment,46235600,Income
2022-12-10,Special package.,Shopping,19042100,Expense
2022-12-10,Service phone store advance direct.,Shopping,5707200,Expense
2022-12-10,Market package grocery renewal water clinic order.,Food & Drink,11994300,Expense
2022-12-10,Net health credit.,Utilities,15886400,Expense
2022-12-10,Package advance.,Other,20564600,Income
2022-12-11,App equipment monthly hospital maintenance.,Salary,15883400,Income
2022-12-12,Adjustment phone monthly premium adjustment.,Entertainment,6059600,Expense
2022-12-12,Happen a point here control.,Rent,2740700,Expense
2022-12-12,Online financial transfer.,Food & Drink,9945100,Expense
2022-12-12,Daily budget parking project.,Entertainment,9867200,Expense
2022-12-12,Tools contract credit.,Food & Drink,11827000,Expense
